, 11:  time = 433.8703
Added Pipe at 72, 4:  time = 439.0736
Added PipeBody at 72, 3:  time = 443.3107
Added PipeBody at 72, 2:  time = 443.7107
Added Ground at 81, 1:  time = 455.7883
Added Ground at 81, 1:  time = 455.7883
Added Ground at 81, 1:  time = 455.7883
Added Ground at 81, 1:  time = 455.7883
Added Ground at 82, 1:  time = 455.8877
Added Ground at 82, 1:  time = 455.8877
Added Ground at 82, 1:  time = 455.8877
Added Ground at 83, 1:  time = 456.5048
Added Ground at 83, 1:  time = 456.5048
Added Ground at 83, 1:  time = 456.5048
Added Ground at 83, 1:  time = 456.5048
Added Ground at 84, 1:  time = 456.8874
Added Ground at 84, 1:  time = 456.8874
Added Ground at 84, 1:  time = 456.8874
Added Stair at 86, 2:  time = 460.2414
Added Stair at 88, 2:  time = 460.9913
Added Stair at 88, 3:  time = 461.2579
Added Stair at 90, 2:  time = 461.9087
Added Stair at 90, 3:  time = 462.2427
Added Stair at 90, 4:  time = 462.9932
Added Stair at 92, 2:  time = 464.0945
Added Stair at 92, 3:  time = 464.7445
Added Stair at 92, 4:  time = 465.2618
Added Stair at 92, 5:  time = 465.6617
Added Stair at 94, 6:  time = 467.347
Added Stair at 94, 4:  time = 468.4803
Added Stair at 94, 5:  time = 468.9475
Added Stair at 94, 3:  time = 469.4321
Added Stair at 94, 2:  time = 470.4315
Added Block at 91, 9:  time = 472.5843
Added Block at 91, 9:  time = 472.5843
Added Block at 91, 9:  time = 472.5843
Added Block at 91, 9:  time = 472.5843
Added Block at 92, 9:  time = 472.9175
Added Block at 92, 9:  time = 472.9175
Added Block at 92, 9:  time = 472.9175
Added Block at 92, 9:  time = 472.9175
Added Block at 92, 10:  time = 473.5522
Added Block at 92, 10:  time = 473.5522
Added Block at 92, 10:  time = 473.5522
Added Block at 92, 10:  time = 473.5522
Added Block at 91, 8:  time = 474.0514
Added Block at 91, 8:  time = 474.0514
Added Block at 91, 8:  time = 474.0514
Added Block at 91, 8:  time = 474.0514
Added Block at 90, 8:  time = 474.5695
Added Block at 90, 8:  time = 474.5695
Added Block at 90, 8:  time = 474.5695
Added Block at 90, 8:  time = 474.5695
Added Block at 89, 8:  time = 475.386
Added Block at 89, 8:  time = 475.386
Added Block at 89, 8:  time = 475.386
Added Block at 89, 8:  time = 475.386
Added Goomba at 88, 4:  time = 484.9436
Added Koopa 2 at 90, 5:  time = 491.1653
Ended Turn:  time = 495.7859
Added Bar at 28, 1:  time = 497.1244
Added Stair at 43, 4:  time = 497.5231
Added Stair at 44, 4:  time = 497.9231
Added Stair at 44, 5:  time = 498.339
Added Stair at 45, 3:  time = 498.7398
Added Stair at 45, 4:  time = 499.1409
Added Stair at 45, 5:  time = 499.557
Added Stair at 46, 4:  time = 499.9582
Added Stair at 46, 5:  time = 500.3749
Added Stair at 62, 2:  time = 500.7754
Added Stair at 78, 0:  time = 501.1759
Added Stair at 78, 2:  time = 501.5766
Player Turn:  time = 503.2107
Added Stair at 44, 4:  time = 505.8122
Added Stair at 44, 4:  time = 505.8122
Added Stair at 44, 4:  time = 505.8122
Added Stair at 44, 4:  time = 505.8122
Added Stair at 43, 4:  time = 506.1133
Added Stair at 43, 4:  time = 506.1133
Added Stair at 43, 4:  time = 506.1133
Added Stair at 43, 4:  time = 506.1133
Added Stair at 44, 5:  time = 506.5296
Added Stair at 44, 5:  time = 506.5296
Added Stair at 44, 5:  time = 506.5296
Added Stair at 44, 5:  time = 506.5296
Added Stair at 45, 5:  time = 506.8804
Added Stair at 45, 5:  time = 506.8804
Added Stair at 45, 5:  time = 506.8804
Added Stair at 45, 5:  time = 506.8804
Added Stair at 45, 4:  time = 507.231
Added Stair at 45, 4:  time = 507.231
Added Stair at 45, 4:  time = 507.231
Added Stair at 45, 4:  time = 507.231
Added Stair at 45, 3:  time = 508.0315
