id,firstAgent,secondAgent,First_Fun,First_Frustrating,First_Challenging,First_Aided,First_Creative,First_Reuse,First_Random,Second_Random,First_Deletions,Second_Deletions,First_Blocks,Second_Blocks,First_Unplayable,Second_Unplayable,Designed_Mario_Class,Designed_Mario_Binary,Designed_Platformer_Class,Designed_Platformer_Binary,Designed_Any_Class,Designed_Any_Binary,Played_SMB_Class,Played_SMB_Binary,Played_M_Class,Played_M_Binary,Played_Platformer_Class,Played_Platformer_Binary,Played_Any_Class,Played_Any_Binary,Gender,Age,above_first
2010,2,0,1,-1,1,-1,-1,-1,0,0,0,1,0,0,0,0,2,1,1,1,2,1,2,1,2,1,2,1,2,1,M,0,1
1000,1,0,-1,1,1,-1,-1,-1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,2,1,1,1,2,1,M,0,0
200,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,2,1,2,1,M,0,0
2000,2,0,-1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,1,1,2,1,M,0,0
100,0,1,-1,-1,-1,1,-1,-1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,2,1,2,1,F,0,0
2100,2,1,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,1,2,1,M,0,0
1210,1,2,1,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,2,1,M,0,1
110,0,1,1,-1,-1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,2,1,2,1,2,1,M,1,1
1010,1,0,1,-1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,M,0,1
1200,1,2,-1,1,1,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,M,0,0
210,0,2,-1,1,1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,1,1,1,1,2,1,M,0,1
2110,2,1,-1,1,1,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,1,2,1,2,1,2,1,M,0,1
1011,1,0,1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,2,1,1,1,2,1,M,1,1
1211,1,2,1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,1,2,1,2,1,2,1,M,0,1
211,0,2,1,-1,-1,1,1,1,0,0,0,0,0,1,0,0,3,1,3,1,3,1,1,1,2,1,2,1,2,1,M,0,1
1001,1,0,-1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,1,2,1,M,1,0
111,0,1,1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,1,2,1,2,1,F,1,1
2001,2,0,1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,F,0,0
2011,2,0,1,-1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,2,1,2,1,2,1,2,1,2,1,M,0,1
101,0,1,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,2,1,M,0,0
2101,2,1,-1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,2,1,2,1,F,0,0
201,0,2,1,-1,-1,1,1,1,0,0,0,0,0,1,0,0,2,1,3,1,3,1,0,0,1,1,2,1,2,1,M,1,0
1201,1,2,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,F,1,0
202,0,2,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,M,0,0
102,0,1,-1,1,1,-1,-1,-1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,2,1,2,1,2,1,2,1,M,1,0
